[(0, '{id:TEST, hour:18, minute:19, day:23, month:8, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:I0A0000011, testcode2:S121111111}')]
[(1, '{id:000571, hour:13, minute:26, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAC800A011, testcode2:S122B11111}')]
[(2, '{id:000572, hour:13, minute:45, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(3, '{id:000573, hour:13, minute:51, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(4, '{id:000574, hour:13, minute:56, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(5, '{id:000575, hour:13, minute:59, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(6, '{id:000576, hour:14, minute:1, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(7, '{id:000577, hour:14, minute:2, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(8, '{id:000578, hour:14, minute:4, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(9, '{id:000579, hour:14, minute:6, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(10, '{id:000580, hour:14, minute:7, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(11, '{id:000582, hour:14, minute:12, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(12, '{id:000581, hour:14, minute:41, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(13, '{id:000583, hour:14, minute:44, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAG2006021, testcode2:S122111111}')]
[(14, '{id:000584, hour:14, minute:52, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAC800A011, testcode2:S122B11111}')]
[(15, '{id:000585, hour:15, minute:5, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAC800A011, testcode2:S122B11111}')]
[(16, '{id:000586, hour:15, minute:12, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAC800A011, testcode2:S122B11111}')]
[(17, '{id:000587, hour:15, minute:19, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAC800A011, testcode2:S122B11111}')]
[(18, '{id:000589, hour:15, minute:41, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:I2C0400091, testcode2:Q122717111}')]
[(19, '{id:000588, hour:15, minute:50, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:I2C0400091, testcode2:Q122717111}')]
[(20, '{id:000591, hour:15, minute:55, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(21, '{id:000590, hour:15, minute:59, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAG2006021, testcode2:S122111111}')]
[(22, '{id:000613, hour:18, minute:15, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(23, '{id:000609, hour:18, minute:18, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(24, '{id:000609, hour:18, minute:19, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(25, '{id:TEST, hour:18, minute:25, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:J1CE000012, testcode2:Q111111111}')]
[(26, '{id:000615, hour:18, minute:30, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K5B7000011, testcode2:S122111111}')]
[(27, '{id:000612, hour:18, minute:35, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(28, '{id:000614, hour:18, minute:37, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K2B7000011, testcode2:S122111111}')]
[(29, '{id:000614, hour:18, minute:39, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K4B7000011, testcode2:S122111111}')]
[(30, '{id:000606, hour:18, minute:43, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC8000021, testcode2:S122771111}')]
